# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21 yFree nSoleCut nSoleAcc nAccSims nFullSims isDup isFake nPartner
1 32 3120 922 64 0 0.0462696 0.397302 0.000586535 0.00126888 0.000198233 -0.0745504 1.8887 -4.47034 4.92522 4.29044 6 12 35.0868 -0.0239793 0.343739 4 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 954 64 0 -0.0750103 0.353568 0.000685274 0.00179464 0.000130044 0.0977023 2.05737 -0.210423 6.4435 -30 6 12 35.0868 -0.0239793 0.343739 4 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 950 68 0 -0.06862 0.626061 0.00109432 0.0018723 3.81637e-05 -0.0948922 5.63064 4.3321 4.3321 -30 6 12 35.0525 -0.0584143 0.500884 4 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 457 78 0 0.00119635 0.584484 0.000903497 0.00155601 6.48986e-05 -0.0856967 1.23964 -1.41562 3.55923 3.55572 6 12 34.6169 -0.0396307 0.687603 4 4 1 0 1 2 6 1 0 0 0 1 1 0 1
1 32 3120 1449 79 0 0.118271 2.20998 0.00293426 0.00129568 0.0011396 0.0424152 13.0322 4.04139 4.04139 0.714624 6 12 34.5861 0.124636 2.17783 4 16 1 0 0 1 16 1 0 0 0 1 1 0 1
1 32 3120 254 82 0 -0.0714702 2.03889 0.00272051 0.00178343 3.86763e-05 0.0663165 5.13797 5.45599 5.45599 4.12303 6 12 34.5002 -0.031556 2.0236 4 10 1 0 0 2 22 1 0 0 0 1 1 0 1
1 32 3120 5455 82 1 0.155788 2.04059 0.00180801 0.00104074 99.2795 0.048739 24.4 -0.0704753 -0.0704753 0.345027 6 12 34.5002 -0.031556 2.0236 4 6 1 0 0 1 22 1 0 0 0 1 0 0 0
1 32 3120 29 89 0 0.111017 0.548029 0.000702612 0.00120375 0.0668556 0.0639751 2.10487 -2.6292 5.49978 -30 6 12 34.355 0.16474 0.56454 4 1 1 0 1 3 3 1 0 0 0 1 1 0 1
1 32 3120 6048 92 2 0.405648 1.88611 0.0017149 0.00053467 635.009 0.0277029 26.2 -3.04721 -0.340895 4.99263 6 12 34.2106 0.0411067 1.87718 4 1 1 0 1 1 23 1 0 0 0 0 0 1 0
1 32 3120 119 93 1 -0.070183 0.803588 0.00137327 0.00193586 0.00155861 0.0966648 3.66176 -2.33057 0.56486 3.42583 6 12 34.9617 0.0124314 0.902374 4 1 1 0 1 3 2 1 0 0 0 1 0 0 0
1 32 3120 121 93 0 -0.00832049 0.864185 0.00131445 0.00173495 2.76499 0.0841707 4.87372 6.42374 6.42374 3.67233 6 12 34.9617 0.0124314 0.902374 4 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 950 95 0 -0.06862 0.626061 0.00109432 0.0018723 3.81637e-05 -0.0948922 5.63064 -4.3656 4.3321 -30 6 12 34.028 0.0791695 0.737832 4 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 1005 95 0 0.074818 0.836621 0.00103132 0.0013823 6.18971e-05 0.0714873 4.77669 6.64979 6.64979 -30 6 12 34.028 0.0791695 0.737832 4 1 1 0 1 1 2 1 0 0 0 1 1 0 1
1 32 3120 223 99 1 0.118234 0.1205 0.000314491 0.00115914 0.00173481 -0.0652756 1.06623 -4.23301 1.01135 5.2789 6 12 33.6893 -0.0283989 0.132874 4 2 1 0 1 2 3 1 0 0 0 1 0 0 0
1 32 3120 252 99 0 -0.0191894 0.105206 0.000290239 0.00148193 0.00278899 0.0889957 1.72699 6.74598 6.74598 -30 6 12 33.6893 -0.0283989 0.132874 4 1 1 0 1 1 3 1 0 0 0 1 1 0 1
1 32 3120 277 106 0 -0.0135174 1.0217 0.00150733 0.00183079 0.0019888 -0.0905072 0.0140787 6.56399 6.56399 3.69928 6 12 36.0025 -0.0135456 0.995426 4 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 6365 107 0 0.543428 1.90356 0.00150711 0.000478141 94.035 -0.0231916 24.4 -1.24869 4.63242 -30 7 14 32.9002 -0.0256612 1.83869 3 24 1 22 0 3 24 1 0 0 0 1 1 0 1
1 32 3120 217 109 0 0.112687 1.0113 0.00118307 0.00136787 0.215605 0.0659797 3.65625 6.36282 6.36282 4.41452 6 12 34.3348 0.124055 1.02343 4 1 1 0 1 4 1 1 0 0 0 1 1 0 1
1 32 3120 984 114 0 -0.0622588 1.51922 0.00158151 0.00152627 0.815353 0.0919271 6.78697 5.27719 5.27719 -30 6 12 33.8448 -0.0270313 1.53168 4 1 1 0 1 4 2 1 0 0 0 1 1 0 1
1 32 3120 1006 114 0 0.0441206 1.48914 0.00139471 0.00131713 18.7861 0.0701027 8.54941 2.68508 6.50379 -30 6 12 33.8448 -0.0270313 1.53168 4 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 590 115 0 0.0836872 1.53056 0.00155435 0.00120639 4.69096e-06 -0.0652672 0.0232318 -0.441705 6.26674 -30 6 12 34.4601 -0.0967225 1.55631 4 2 1 1 0 2 2 1 0 0 0 1 1 0 1
1 32 3120 2847 116 0 0.0137345 1.79733 0.0017164 0.001441 0.164387 -0.0773036 8.35773 6.02329 6.02329 -30 7 14 32.8961 0.0021316 1.80964 3 4 1 3 0 1 4 1 0 0 0 1 1 0 1
1 32 3120 716 120 0 0.0316013 0.848311 0.00117152 0.00155567 2.51233 0.079436 4.28505 5.89999 5.89999 -30 6 12 31.565 0.00541208 0.880109 3 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 375 123 0 -0.0214198 0.385429 0.000669415 0.00159435 0.175485 -0.0898975 2.56781 6.58198 6.58198 -30 6 12 31.4165 -0.0352912 0.41769 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 430 123 0 -0.0799793 0.434786 0.00085283 0.00193013 0.000899403 0.0988162 1.17905 -4.08604 6.08408 3.0668 6 12 31.4165 -0.0352912 0.41769 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 665 127 0 0.335299 1.30032 0.000851863 0.000732037 88.2731 -0.0398951 11.9324 -0.977035 5.39707 5.15706 6 12 31.0865 0.0264373 1.28838 3 2 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 713 132 0 -0.0129208 0.254133 0.000488388 0.00157065 0.000225528 -0.0853126 0.615708 -3.74857 5.02203 -30 6 12 30.922 0.0700772 0.357876 3 1 1 0 1 2 3 1 0 0 0 1 1 0 1
1 32 3120 721 132 1 0.0434559 0.459503 0.000642035 0.00133384 0.63475 -0.0740849 3.48887 -3.51289 0.427443 4.13984 6 12 30.922 0.0700772 0.357876 3 1 1 0 1 2 3 1 0 0 0 1 0 0 0
1 32 3120 765 132 0 0.0834917 0.38233 0.000618409 0.00133882 0.000218186 0.0691712 0.0100187 6.78102 6.78102 -30 6 12 30.922 0.0700772 0.357876 3 1 1 0 1 2 3 1 0 0 0 1 1 0 1
1 32 3120 26 133 0 0.15438 1.62887 0.00155902 0.00116947 0.21663 -0.0517405 6.96611 1.15129 6.62221 5.79466 6 12 30.8931 0.329219 1.57101 3 1 1 0 1 4 6 1 0 0 0 1 1 0 1
1 32 3120 37 133 0 0.313292 1.53917 0.00121757 0.000805596 41.4735 -0.0341126 9.96051 6.3914 6.3914 -30 6 12 30.8931 0.329219 1.57101 3 3 1 2 1 4 6 1 0 0 0 1 1 0 1
1 32 3120 721 135 1 0.0434559 0.459503 0.000642035 0.00133384 0.63475 -0.0740849 3.48887 -2.90712 0.427443 4.13984 6 12 30.8309 0.345415 0.526859 3 1 1 0 1 2 1 1 0 0 0 1 0 0 0
1 32 3120 752 147 1 0.264786 0.707001 0.000634885 0.000908357 0.000567231 -0.0472898 4.131 -3.17545 0.344066 5.61845 6 12 30.6128 0.302645 0.685254 3 4 1 0 0 1 6 1 0 0 0 1 0 0 0
1 32 3120 764 147 0 -0.0121254 0.658762 0.00104205 0.00166535 0.0011462 -0.089472 3.61769 -4.95346 5.29659 -30 6 12 30.6128 0.302645 0.685254 3 2 1 1 0 3 6 1 0 0 0 1 1 0 1
1 32 3120 377 150 0 0.0578774 0.234828 0.000410084 0.00134077 0.000268156 0.0744158 0.785904 6.72114 6.72114 -30 6 12 30.544 0.0467685 0.210307 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 389 150 0 -0.0311518 0.0974934 0.000319437 0.00162201 0.000308179 0.0916945 3.03835 -1.78566 5.7946 -30 6 12 30.544 0.0467685 0.210307 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 922 154 0 0.0462696 0.397302 0.000586535 0.00126888 0.000198233 -0.0745504 1.8887 -3.44327 4.92522 4.29044 6 12 30.4752 -0.0722853 0.300221 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 954 154 0 -0.0750103 0.353568 0.000685274 0.00179464 0.000130044 0.0977023 2.05737 6.4435 6.4435 -30 6 12 30.4752 -0.0722853 0.300221 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 774 176 0 0.327152 1.02938 0.000860356 0.000853891 0.06888 0.0409794 4.6447 6.20129 6.20129 -30 6 12 30.1665 0.339311 1.03551 3 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 5951 184 0 -0.0346603 2.29388 0.00313269 0.00177233 13.1894 0.0653677 26.2 -0.859012 4.08745 2.89493 6 12 30.0997 0.355402 2.22093 3 2 1 0 0 2 2 1 0 0 0 1 1 0 1
1 32 3120 971 194 0 0.0355384 0.85857 0.00120875 0.00160986 0.00106116 0.0756785 5.86932 4.6201 4.6201 5.66523 6 12 29.9778 -0.00669971 0.750118 3 1 1 0 1 1 2 1 0 0 0 1 1 0 1
1 32 3120 983 194 0 0.0866008 0.753663 0.000988901 0.00139096 0.217326 0.0702619 3.31366 -1.48525 6.24515 -30 6 12 29.9778 -0.00669971 0.750118 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 715 198 0 0.278922 0.70682 0.000631792 0.000841083 0.000248195 0.0449099 0.450669 -2.88427 6.33922 -30 6 12 29.9405 -0.054329 0.659068 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 722 198 0 -0.0565956 0.553351 0.00092555 0.00168241 10.1518 0.0980405 7.90936 6.07661 6.07661 -30 6 12 29.9405 -0.054329 0.659068 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 1826 203 1 0.0261091 2.2505 0.00305895 0.00134324 0.00267135 -0.0551002 9.72859 -0.232889 -0.232889 -0.0951787 6 12 29.8932 0.0554084 2.31744 3 12 1 0 0 1 28 1 0 0 0 1 0 0 0
1 32 3120 4729 203 1 -0.0835887 2.39802 0.00335378 0.00159386 120.48 -0.0584141 25.65 -2.88083 -2.88083 -2.0468 6 12 29.8932 0.0554084 2.31744 3 16 1 0 0 1 28 1 0 0 0 1 0 0 0
1 32 3120 3051 205 1 0.824165 1.70163 0.00208733 0.000350038 44.4818 0.00707673 13.4066 -2.78207 5.94194 -30 6 12 29.8834 -0.0558137 1.63139 3 1 1 0 1 3 1 1 0 1 1 1 0 0 0
1 32 3120 403 215 1 0.00690626 0.438499 0.00066941 0.00145385 1.31366 -0.0805801 4.63441 2.7805 2.7805 5.787 6 12 29.6902 0.00562248 0.505057 3 1 1 0 1 3 2 1 0 0 0 1 0 0 0
1 32 3120 408 215 0 -0.00547348 0.591195 0.000881276 0.00154123 9.10665e-05 -0.0829011 4.03743 6.10269 6.10269 -30 6 12 29.6902 0.00562248 0.505057 3 1 1 0 1 1 2 1 0 0 0 1 1 0 1
1 32 3120 7301 221 1 -0.0920753 2.14312 0.00229311 0.00186363 145.689 -0.0981027 33.195 -3.29888 0.0870987 1.75239 6 12 29.5758 0.836297 2.15863 3 6 1 0 0 2 13 1 0 0 0 1 0 0 0
1 32 3120 104 228 0 -0.0548166 0.115946 0.000353812 0.00182684 0.000291503 0.0942531 1.05121 -1.72049 6.22187 5.94376 6 12 29.5209 0.282131 0.157193 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 112 228 0 0.304919 0.219182 0.000343095 0.000872637 0.000351061 0.0406779 2.4777 6.66533 6.66533 -30 6 12 29.5209 0.282131 0.157193 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 8 234 1 -0.0567714 0.598696 0.001045 0.00181777 4.14898e-05 -0.0935583 0.75587 -3.47401 1.05081 5.94479 6 12 29.42 0.372805 0.608855 3 1 1 0 1 5 2 1 0 0 0 1 0 0 0
1 32 3120 29 234 0 0.111017 0.548029 0.000702612 0.00120375 0.0668556 0.0639751 2.10487 -1.04611 5.49978 -30 6 12 29.42 0.372805 0.608855 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 14 238 0 -0.0872102 0.728629 0.00134098 0.00203968 4.94838 -0.100497 5.07569 -1.17483 6.67873 1.39124 6 12 29.3983 0.144177 0.742797 3 1 1 0 1 5 3 1 0 0 0 1 1 0 1
1 32 3120 1578 241 1 -0.096825 2.20486 0.00292738 0.00171112 9.82641 0.063857 14.024 -0.242636 2.80695 2.8957 6 12 29.333 0.0374237 2.11479 3 6 1 0 0 2 7 1 0 0 0 1 0 0 0
1 32 3120 4446 241 1 -0.099032 2.20617 0.00307176 0.00190304 54.0729 0.0807212 26.2 -0.545347 3.13119 1.42384 6 12 29.333 0.0374237 2.11479 3 1 1 0 1 2 7 1 0 0 0 1 0 0 0
1 32 3120 403 244 1 0.00690626 0.438499 0.00066941 0.00145385 1.31366 -0.0805801 4.63441 1.13239 2.7805 5.787 6 12 29.2799 0.087741 0.45979 3 1 1 0 1 3 1 1 0 0 0 1 0 0 0
1 32 3120 2613 256 0 -0.0604034 2.02088 0.00228165 0.00174706 41.3654 -0.0668079 13.6364 4.60363 4.60363 5.16964 6 12 34.3163 0.0250748 2.04436 4 6 1 0 0 1 6 1 0 0 0 1 1 0 1
1 32 3120 1 260 0 -0.0484236 1.62987 0.0019337 0.00158829 0.00374274 -0.0870701 2.30876 5.38718 5.38718 3.27951 6 12 34.035 -0.0221106 1.57018 4 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 5 261 0 0.063788 0.32891 0.000520591 0.00134649 0.0296868 0.0710052 1.66692 -2.74435 5.67697 -30 6 12 28.9776 0.0197411 0.433519 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 981 261 0 0.00456227 0.352199 0.000574138 0.00150878 0.941324 -0.0836531 5.32097 6.53745 6.53745 -30 6 12 28.9776 0.0197411 0.433519 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 6182 263 1 0.222563 2.39665 0.00362982 0.00111091 2.22154e-05 -0.0328245 26.2 -4.09217 -3.41238 -0.83535 6 12 28.9282 0.159272 2.28554 3 36 1 0 0 1 36 1 0 0 0 1 0 0 0
1 32 3120 646 275 0 -0.0251225 0.044182 0.000289574 0.0016616 0.000349383 -0.0906226 5.92166 -4.87336 6.43517 -30 6 12 28.7122 0.301828 0.161188 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 558 279 0 0.180636 0.108089 0.00033173 0.00110803 0.000352991 0.0547987 0.42549 -0.357174 6.47723 -30 6 12 28.66 0.0599279 0.148701 3 1 1 0 1 6 2 1 0 0 0 1 1 0 1
1 32 3120 571 279 0 0.0817922 0.163041 0.000348678 0.00129088 0.000315902 0.0682499 0.275317 5.94532 5.94532 -30 6 12 28.66 0.0599279 0.148701 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 2939 282 1 0.116274 2.1601 0.00289247 0.00133104 4.44111e-07 -0.0461905 12.366 1.70162 1.70162 2.97968 6 12 28.5669 0.0962337 2.15775 3 5 1 0 0 3 31 1 0 0 0 1 0 0 0
1 32 3120 2947 282 1 0.210756 2.13918 0.00197381 0.00108404 1.09933e-05 -0.0430437 4.60014 -1.7739 1.26411 3.94147 6 12 28.5669 0.0962337 2.15775 3 26 1 0 0 3 31 1 0 0 0 1 0 0 0
1 32 3120 348 289 0 0.0292013 0.0790151 0.000325123 0.00152102 0.00018327 0.0770372 2.82223 6.07459 6.07459 -30 6 12 29.7693 0.0161414 0.129889 3 1 1 0 1 1 1 1 0 0 0 1 1 0 1
1 32 3120 377 295 0 0.0578774 0.234828 0.000410084 0.00134077 0.000268156 0.0744158 0.785904 -0.64472 6.72114 -30 6 12 28.1229 0.0606761 0.238983 3 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 2979 297 0 -0.0682489 1.72139 0.00177756 0.00165282 0.00311964 -0.10386 5.94825 -2.59927 5.65417 -30 6 12 34.2863 0.122401 1.59186 4 1 1 0 1 5 1 1 0 0 0 1 1 0 1
1 32 3120 146 307 0 0.315294 1.02644 0.00087458 0.00086711 0.000619015 -0.041391 0.547741 6.29387 6.29387 -30 6 12 28.8616 0.286253 0.986209 3 1 1 0 1 1 1 1 0 0 0 1 0 0 0
1 32 3120 583 308 0 0.541818 0.766823 0.000522798 0.000542537 0.000337617 -0.0243856 2.0086 6.50481 6.50481 -30 6 12 28.3872 0.557108 0.762953 3 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 696 317 0 0.598833 0.809257 0.000516602 0.000466303 1.16365 -0.0214373 3.70166 5.84079 5.84079 -30 6 12 27.2886 0.565317 0.826251 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 715 317 0 0.278922 0.70682 0.000631792 0.000841083 0.000248195 0.0449099 0.450669 -3.31572 6.33922 -30 6 12 27.2886 0.565317 0.826251 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 370 325 0 0.300672 0.969238 0.000951327 0.000979 7.41806 -0.0429405 5.65154 -3.2475 2.62935 5.38871 5 10 27.1926 0.132606 0.908162 3 1 1 0 1 3 4 1 0 0 0 1 1 0 1
1 32 3120 402 325 1 -0.0797043 0.937266 0.00165119 0.00210761 3.07954 0.0998999 4.57011 -1.45317 2.29701 3.38682 5 10 27.1926 0.132606 0.908162 3 1 1 0 1 4 4 1 0 1 1 1 0 0 0
1 32 3120 8 331 1 -0.0567714 0.598696 0.001045 0.00181777 4.14898e-05 -0.0935583 0.75587 -1.45601 1.05081 5.94479 6 12 29.8712 0.123335 0.687839 3 1 1 0 1 5 4 1 0 0 0 1 0 0 0
1 32 3120 14 331 0 -0.0872102 0.728629 0.00134098 0.00203968 4.94838 -0.100497 5.07569 -1.99208 6.67873 1.39124 6 12 29.8712 0.123335 0.687839 3 1 1 0 1 5 4 1 0 0 0 1 1 0 1
1 32 3120 100 333 0 0.715006 0.369574 0.000289449 0.000350388 0.394255 0.0156212 3.64905 -1.7128 5.99636 -30 6 12 27.0738 0.14199 0.492035 3 1 1 0 1 2 1 1 0 0 0 1 1 0 1
1 32 3120 8 336 1 -0.0567714 0.598696 0.001045 0.00181777 4.14898e-05 -0.0935583 0.75587 1.05081 1.05081 5.94479 6 12 28.7349 -0.0233817 0.667248 3 1 1 0 1 5 4 1 0 0 0 1 0 0 0
1 32 3120 14 336 0 -0.0872102 0.728629 0.00134098 0.00203968 4.94838 -0.100497 5.07569 -0.544727 6.67873 1.39124 6 12 28.7349 -0.0233817 0.667248 3 1 1 0 1 5 4 1 0 0 0 1 1 0 1
1 32 3120 2491 362 2 1.90361 1.76125 0.0110683 0.000102879 7.91138 -0.000172403 11.8698 -0.352565 1.59803 -30 7 14 38.8681 0.1529 1.81218 5 2 1 1 1 11 22 1 0 0 0 0 0 1 0
1 32 3120 2500 362 1 0.945684 1.85576 0.00185781 0.0002604 8.3682 -0.00803809 12.8211 0.551369 3.7589 -30 7 14 38.8681 0.1529 1.81218 5 1 1 0 1 11 22 0 1 1 1 1 0 0 0
1 32 3120 92 369 0 0.183361 1.76194 0.00189069 0.00102894 5.13812e-07 0.0453686 9.15403 4.1269 4.1269 3.54454 6 12 33.4777 0.18912 1.72863 4 12 1 0 1 1 27 1 0 0 0 1 1 0 1
1 32 3120 2263 369 1 -0.0126533 1.82978 0.00176119 0.00144568 46.077 0.0734686 13.8398 -1.00898 1.67345 3.57219 6 12 33.4777 0.18912 1.72863 4 14 1 0 0 1 27 1 0 0 0 1 0 0 0
1 32 3120 139 377 0 -0.0759246 1.48416 0.00163358 0.00164724 0.0633226 0.102165 6.91646 0.636141 5.80191 2.70758 5 10 26.4598 0.0481849 1.42531 3 2 1 0 0 2 2 1 0 0 0 1 1 0 1
1 32 3120 673 378 0 0.0580042 0.291041 0.000602853 0.00173607 0.153952 -0.0726542 3.36873 5.33977 5.33977 -30 6 12 29.0302 0.0309756 0.342166 3 2 1 1 0 2 4 1 0 0 0 1 1 0 1
1 32 3120 680 378 1 -0.0942289 0.308969 0.000634583 0.00190759 1.29155 -0.102322 7.22571 -1.65687 -0.876934 2.43152 6 12 29.0302 0.0309756 0.342166 3 2 1 0 1 2 4 1 0 0 0 1 0 0 0
1 32 3120 1697 382 1 -0.0823617 2.06445 0.00254546 0.00186221 0.00369511 0.0751637 12.3565 -2.25341 1.31564 3.76939 5 10 26.4303 -0.0704402 1.9983 3 5 1 0 0 1 5 1 0 0 0 1 0 0 0
1 32 3120 1718 389 0 0.106565 2.30527 0.00371089 0.00134452 0.000920218 -0.0382588 14.3781 0.329343 2.09031 5.39195 6 12 28.8404 0.331882 2.24593 3 42 1 0 0 1 78 1 0 0 0 1 1 0 1
1 32 3120 1730 389 0 0.147663 2.35202 0.00497033 0.00147601 0.00150326 -0.0368175 14.9642 -0.0774055 5.10042 4.79913 6 12 28.8404 0.331882 2.24593 3 28 1 16 0 1 78 1 0 0 0 1 1 0 1
1 32 3120 1815 389 1 0.297781 2.15794 0.00201839 0.000800024 0.23898 0.0276363 12.3309 -1.73077 3.07043 2.9539 6 12 28.8404 0.331882 2.24593 3 16 1 0 0 3 78 1 0 0 0 1 0 0 0
1 32 3120 8481 389 1 -0.00100645 2.27006 0.00228501 0.00140552 56.1632 0.0740501 31.945 -1.67062 2.46283 2.38242 6 12 28.8404 0.331882 2.24593 3 7 1 0 0 1 78 1 0 0 0 1 0 0 0
1 32 3120 469 394 0 0.279324 1.45122 0.00107877 0.000868519 30.8078 -0.0415184 10.1213 -3.19228 6.79695 -30 5 10 26.2057 0.0240372 1.46778 3 1 1 0 1 4 4 1 0 0 0 1 1 0 1
1 32 3120 473 394 1 0.0443883 1.47929 0.00222534 0.00211594 7.25051e-05 -0.0746686 6.89754 -5.16666 0.877336 5.43859 5 10 26.2057 0.0240372 1.46778 3 1 1 0 1 3 4 1 0 0 0 1 0 0 0
1 32 3120 491 394 0 0.0282853 1.45421 0.0014126 0.00136205 0.173766 0.0828222 6.80472 5.67047 5.67047 -30 5 10 26.2057 0.0240372 1.46778 3 2 1 1 1 3 4 1 0 0 0 1 1 0 1
1 32 3120 59 396 0 -0.0940924 0.62036 0.0011304 0.00193999 0.00142984 0.105755 3.46094 5.71006 5.71006 3.43863 5 10 26.19 -0.091758 0.541995 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 63 396 1 0.310153 0.604012 0.000546067 0.000779092 0.000503933 0.0418674 0.660544 -2.71206 0.0244371 5.89731 5 10 26.19 -0.091758 0.541995 3 1 1 0 1 3 2 1 0 0 0 1 0 0 0
1 32 3120 375 398 0 -0.0214198 0.385429 0.000669415 0.00159435 0.175485 -0.0898975 2.56781 -3.49216 6.58198 -30 5 10 26.1796 -0.0633587 0.398709 3 1 1 0 1 3 2 1 0 0 0 1 1 0 1
1 32 3120 430 398 0 -0.0799793 0.434786 0.00085283 0.00193013 0.000899403 0.0988162 1.17905 6.08408 6.08408 3.0668 5 10 26.1796 -0.0633587 0.398709 3 1 1 0 1 2 2 1 0 0 0 1 1 0 1
1 32 3120 6129 407 0 0.071807 1.96031 0.00174564 0.0012389 0.230714 0.0707345 24.4 4.42526 4.42526 4.7253 5 10 26.0406 0.109892 1.96933 3 4 1 0 0 1 4 1 0 0 0 1 1 0 1
1 32 3120 139 408 0 -0.0759246 1.48416 0.00163358 0.00164724 0.0633226 0.102165 6.91646 5.80191 5.80191 2.70758 5 10 26.036 -0.0403071 1.50154 3 2 1 0 0 2 2 1 0 0 0 1 1 0 1
1 32 3120 852 410 0 -0.0431989 0.701457 0.00118108 0.0018199 3.3606 0.0945704 4.54297 4.91132 4.91132 -30 5 10 26.0156 -0.00728138 0.771911 3 1 1 0 1 2 1 1 0 0 0 1 1 0 1
